"Codigo_dpto","Departamento","Cod_municipio","Municipio","Latitud","Longitud","Sexo","Fecha beneficio ó Inicio","Clasificacion Academica","Entidad Organización","Programa","Modalidad","Beneficio"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","F","2024 Jun 16 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Administración","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","F","2024 Jun 15 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en Regencia de Framacia","Híbrido","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Contaduría Pública","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Jun 17 12:00:00 AM","Tecnología","Sena","Tecnología En Análisis Y Desarrollo De Software","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Jun 15 12:00:00 AM","Tecnología","Sena","Tecnología En Coordinación De Procesos Logísticos","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","F","2024 Jun 17 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Publicidad en Medios Digitales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","F","2024 Jun 12 12:00:00 AM","Profesional","Universidad Santiago de Cali","Contaduría Pública","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","F","2024 Dec 10 12:00:00 AM","Técnico","Fundación Politécnico Minuto de Dios","Técnico Profesional en Desarrollo de Aplicaciones Web Móviles","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Dec 05 12:00:00 AM","Técnico","Fundación Politécnico Minuto de Dios","Técnico Profesional en Creación de Contenidos Digitales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Dec 17 12:00:00 AM","Técnico","Fundación Politécnico Minuto de Dios","Técnico Profesional en Creación de Contenidos Digitales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,036","ANDALUCIA","4.1706","-76.1672","M","2024 Dec 09 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Ingeniería Industrial","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","M","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","M","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","F","2024 Jun 14 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","M","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","F","2024 Jun 14 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","F","2024 Jun 11 12:00:00 AM","Profesional","Universidad Santiago de Cali","Contaduría Pública","Virtual","Incentivo completo"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","M","2024 Dec 10 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Artes visuales","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,041","ANSERMANUEVO","4.7924","-75.9958","F","2024 Dec 10 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Artes visuales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,054","ARGELIA","4.7275","-76.1325","M","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,054","ARGELIA","4.7275","-76.1325","F","2024 Jun 15 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,054","ARGELIA","4.7275","-76.1325","M","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración de Empresas","Virtual","Incentivo completo"
