"id_solicitud","Fecha_creación","Tipo_solicitud","Es_anonima","Tipo_persona","Estado","Fue_delegada","Fecha_ delego","Fecha_cierre"
"70,853,235,102","14 junio 2022 12:11:05","Petición","SI","Persona natural","Cerrada","NO","N/A","01 agosto 2022 12:51:30"
"70,845,304,606","06 junio 2022 05:47:55","Sugerencia","SI","N/A","Cerrada","NO","N/A","01 agosto 2022 12:51:58"
"70,833,112,506","01 junio 2022 11:49:56","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"70,824,601,006","16 mayo 2022 09:11:20","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"70,817,844,806","09 mayo 2022 12:04:33","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"70,808,208,402","04 mayo 2022 10:47:01","Petición","NO","Persona natural","Abierta","NO","N/A","N/A"
"70,799,551,801","04 mayo 2022 10:46:07","Solicitud de información","NO","Persona natural","Abierta","NO","N/A","N/A"
"70,786,448,701","04 mayo 2022 10:42:32","Solicitud de información","NO","Persona natural","Abierta","NO","N/A","N/A"
"70,777,442,101","04 mayo 2022 10:19:20","Solicitud de información","NO","Persona natural","Abierta","NO","N/A","N/A"
"70,769,191,216","13 abril 2022 09:00:05","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"60,765,694,506","04 abril 2022 10:01:56","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"60,752,687,002","28 marzo 2022 10:57:14","Petición","NO","Persona jurídica","Cerrada","NO","N/A","17 agosto 2022 12:22:07"
"60,745,849,506","18 marzo 2022 12:11:03","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"60,736,497,602","16 marzo 2022 03:18:55","Petición","NO","Persona jurídica","Abierta","NO","N/A","N/A"
"60,724,079,902","15 marzo 2022 04:32:34","Petición","NO","Persona jurídica","Abierta","NO","N/A","N/A"
"60,718,234,706","10 marzo 2022 03:48:03","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"60,709,797,906","07 marzo 2022 03:33:26","Sugerencia","SI","N/A","Cerrada","NO","N/A","31 julio 2022 05:40:19"
"60,697,298,902","04 marzo 2022 06:42:35","Petición","NO","Persona natural","Abierta","SI","06 marzo 2022 09:34:28 Hace 1255 días","N/A"
"60,689,526,816","28 febrero 2022 06:40:49","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"60,675,353,406","25 febrero 2022 07:22:42","Sugerencia","SI","N/A","Cerrada","NO","N/A","28 febrero 2022 12:37:16"
"60,665,744,306","22 febrero 2022 10:30:24","Sugerencia","SI","N/A","Abierta","SI","28 febrero 2022 12:36:09 Hace 1261 días","N/A"
"60,659,113,402","22 febrero 2022 04:57:38","Petición","NO","Persona natural","Cerrada","NO","N/A","28 febrero 2022 12:35:08"
"50,655,960,402","18 febrero 2022 09:24:47","Petición","NO","Persona natural","Abierta","SI","28 febrero 2022 12:25:06 Hace 1261 días","N/A"
"50,645,522,706","14 febrero 2022 02:55:43","Sugerencia","SI","N/A","Cerrada","NO","N/A","28 febrero 2022 12:10:18"
"50,637,121,502","11 febrero 2022 04:53:32","Petición","NO","Persona jurídica","Cerrada","NO","N/A","14 febrero 2022 12:57:19"
"50,621,592,306","07 febrero 2022 10:57:05","Sugerencia","SI","N/A","Cerrada","NO","N/A","10 febrero 2022 05:29:10"
"50,614,858,006","01 febrero 2022 12:50:04","Sugerencia","SI","N/A","Cerrada","NO","N/A","11 febrero 2022 12:33:18"
"50,604,267,601","21 enero 2022 05:36:43","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","25 enero 2022 05:37:05"
"50,599,393,806","03 enero 2022 07:38:02","Sugerencia","NO","Persona natural","Cerrada","NO","N/A","25 enero 2022 05:40:38"
"50,589,181,401","15 diciembre 2021 08:50:47","Solicitud de información","NO","Persona jurídica","Cerrada","NO","N/A","27 enero 2022 07:20:34"
"40,589,282,406","13 diciembre 2021 10:42:30","Sugerencia","SI","N/A","Cerrada","SI","01 febrero 2022 12:08:30 Hace 1289 días","01 febrero 2022 12:09:08"
"40,577,169,306","09 diciembre 2021 09:54:05","Sugerencia","SI","N/A","Cerrada","NO","N/A","11 febrero 2022 12:35:37"
"40,568,213,801","26 noviembre 2021 10:47:25","Solicitud de información","NO","Persona jurídica","Cerrada","NO","N/A","10 febrero 2022 05:58:07"
"40,559,656,206","25 noviembre 2021 08:51:06","Sugerencia","SI","N/A","Abierta","SI","11 febrero 2022 03:24:21 Hace 1278 días","N/A"
"40,547,842,602","24 noviembre 2021 10:27:10","Petición","NO","Persona natural","Cerrada","NO","N/A","11 febrero 2022 12:31:31"
"40,532,794,201","15 noviembre 2021 04:35:21","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","14 febrero 2022 01:18:54"
"40,522,834,601","12 noviembre 2021 04:26:34","Solicitud de información","NO","Persona jurídica","Abierta","SI","11 febrero 2022 12:32:53 Hace 1278 días","N/A"
"40,519,777,502","28 octubre 2021 04:09:26","Petición","NO","Persona jurídica","Cerrada","NO","N/A","11 febrero 2022 12:27:58"
"40,501,088,001","28 octubre 2021 09:45:02","Solicitud de información","NO","Persona natural","Abierta","NO","N/A","N/A"
"40,495,636,906","11 octubre 2021 04:17:45","Sugerencia","SI","N/A","Abierta","SI","11 febrero 2022 12:29:24 Hace 1278 días","N/A"
"40,484,638,106","08 octubre 2021 03:03:19","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
